,날짜,사고 및 공사,위치,경도,위도
0,2022-08-01 5:00,사고 ,제2경인고속도로 남동IC동측 서창JC서측 1차로 0km(서창JC방향) 주의운전 교통사고 -,126.7264472,37.433425
1,2022-08-01 5:28,사고 ,구리포천고속도로 포천 남별내IC 3차로 0km(남별내IC방향) 주의운전 교통사고 -,127.1223897,37.6956902
2,2022-08-01 6:53,사고 ,중부고속도로 진천IC 대소분기점 1차로 0km(대소분기점방향) 주의운전 교통사고 -,127.477057,36.91985797
3,2022-08-01 7:10,사고 ,중앙고속도로 춘천휴게소 춘천JC 1차로 지정체 교통사고 1차와 갓길 사고차량으로 주의운전,127.7711742,37.80429535
4,2022-08-01 7:19,공사 ,강남순환도시고속도로 서초터널 서초터널 1차로 <공사>도로시설물 유지관리/ 장소: 강남순환로 전구간 양방향/ 부분통제 유지보수 서울청,127.0166329,37.46305184
5,2022-08-01 7:22,공사 ,경부고속도로 양재육교 양재IC 1차로 <공사>정밀안전점검/ 장소: 경부고속 양방(양재ic~반포ic)/ 부분통제 유지보수 서울청,127.0397997,37.46381668
6,2022-08-01 7:25,공사 ,올림픽대로 강일IC 암사IC 1차로 <공사>세종~포천 고속도로설치/ 장소:올림픽대로 암사ic~강일ic 양방향/ 부분통제 도로공사 서울청,127.1402321,37.56702666
7,2022-08-01 7:30,사고 ,서울양양고속도로 북방1터널 동산2터널 서울 2차로 83.2 Km (춘천분기점 방향) 차량단독 사고 발생 교통사고 추가내용,127.8437881,37.75954352
8,2022-08-01 7:35,사고 ,서해안고속도로 송악IC 송악IC 진출로 2차로 승용관련 사고처리중 주의운전 교통사고 -,126.7781995,36.93553226
9,2022-08-01 7:43,사고 ,통영대전고속도로 통영2터널남측 대촌교북측 통영 2차로 승용관련 사고처리중 주의운전 교통사고 -,128.4052755,34.92753252
10,2022-08-01 7:58,사고 ,남해고속도로 사천IC서측 사천IC남측 1차로 화물차전도사고 처리중 주의운전 교통사고 -,128.0895613,35.11560877
11,2022-08-01 8:04,공사 ,경부고속도로 원평1교남측 신평육교북측 4차로 175km(구미IC방향) 4차로 차단 공사중 주의운전요망 도로공사 -,128.3570074,36.1205225
12,2022-08-01 8:07,사고 ,남해고속도로 함안IC 장지IC 1차로 0km(가야읍묘사리153방향) 주의운전 고장차량 -,128.3658911,35.2933805
13,2022-08-01 8:20,공사 ,경부고속도로 동대구JC 경산ic 2차로 121k 4차로km(방향) 주의운전 도로공사 -,128.6889067,35.8890752
14,2022-08-01 8:29,사고 ,호남고속도로 용봉IC 오치육교 순천 1차로 승용vs승합간 사고 주의운전 교통사고 -,126.9045298,35.1839668
15,2022-08-01 8:51,사고 ,과천의왕간고속도로 의왕IC북측 의왕TG 1차로 주의운전 교통사고 -,126.9840986,37.3471686
16,2022-08-01 8:55,사고 ,호남고속도로 여호와의증인 동림IC 순천 2차로 갓길 사고처리중 주의운전 교통사고 -,126.8572699,35.19242236
17,2022-08-01 9:00,사고 ,통영대전고속도로 고성IC 북고성IC 2차로 0km(동고성IC방향) 주의운전 고장차량 -,128.3880659,34.9682589
18,2022-08-01 9:07,사고 ,통영대전고속도로 육십령터널 서상IC 1차로 0km(방향) 주의운전 고장차량 -,127.6710877,35.6682592
19,2022-08-01 9:07,사고 ,통영대전고속도로 북통영IC 통영IC 1차로 0km(통영IC방향) 주의운전 적재물낙하 -,128.4181299,34.87246875
20,2022-08-01 9:11,사고 ,서울외곽순환고속도로 산본IC북측 산본IC동측 2차로 주의운전 교통사고 -,126.9335075,37.37500447
21,2022-08-01 9:49,공사 ,새만금포항고속도로 와촌터널 와촌터널 2차로 0km(청통와촌IC방향) 주의운전 도로공사 -,128.7101284,35.9504534
22,2022-08-01 9:54,공사 ,서울외곽순환고속도로 서운JC남측 서운JC북측 1차로 주의운전 도로공사 -,126.7544729,37.53109848
23,2022-08-01 9:58,공사 ,경인고속도로 서운JC 서운JC서측 1차로 주의운전 노변유지보수 -,126.756856,37.52566942
24,2022-08-01 10:24,사고 ,통영대전고속도로 통영IC 북통영IC 1차로 0km(북통영IC방향) 주의운전 적재물낙하 -,128.4327154,34.8693275
25,2022-08-01 10:34,공사 ,경부고속도로147하 칠곡물류ic 금호jc 1차로 공사로 갓길없음 주의 도로공사 -,128.5971978,35.9219277
26,2022-08-01 10:47,사고 ,서울양양고속도로 강일IC 강동대교 1차로 주의운전 교통사고 서울청,127.1663213,37.57405208
27,2022-08-01 10:52,공사 ,당진영덕고속도로 동청송영양IC 지품1터널서측 1차로 0km(영덕IC방향) 주의운전 도로공사 -,129.1311154,36.4925237
28,2022-08-01 11:13,사고 ,서울외곽순환고속도로 상일IC북측 강일IC 1차로 24.5km(강일IC방향) 주의운전 교통사고 -,127.1700385,37.5691956
29,2022-08-01 12:28,사고 ,통영대전고속도로 진주JC 연화산IC 2차로 0km(진주JC방향) 주의운전 고장차량 -,128.1171775,35.1318437
30,2022-08-01 13:15,공사 ,수도권제2순환고속도로 인천터널남측 인천항고가차도북측 1차로 주의운전 도로공사 -,126.6320799,37.46207398
31,2022-08-01 13:31,사고 ,경인고속도로 부평IC서측 부평IC동측 1차로 0km(부평IC방향) 타이어 파스 고장차량 -,126.7207028,37.52375
32,2022-08-01 13:38,공사 ,수석호평도시고속도로 이패TG 무대IC북측 1차로 주의운전 도로공사 -,127.2054573,37.6139919
33,2022-08-01 13:53,공사 ,수도권제2순환고속도로 인천항고가교남측 인천항고가차도북측 1차로 주의운전 유지보수 -,126.6288883,37.44112708
34,2022-08-01 15:04,사고 ,당진영덕고속도로 회인IC 보은IC 영덕 1차로 수리티터널 승용관련 사고처리중 주의운전 교통사고 -,127.6407067,36.47421482
35,2022-08-01 15:46,공사 ,광주원주고속도로 신평JC 서원주IC 1차로 주의운전 도로공사 -,127.8842022,37.3905372
36,2022-08-01 15:54,사고 ,영동고속도로 섬강교 남한강교 인천103km 1차로 사고처리중 주의운전 교통사고 -,127.7418496,37.24361741
37,2022-08-01 16:19,사고 ,경부고속도로 판교IC 판교JC남측 1차로 0km(판교JC방향) 주의운전 교통사고 -,127.1018377,37.39541
38,2022-08-01 16:24,사고 ,영동고속도로 부곡IC 부곡TG 1차로 0km(방향) 주의운전 교통사고 -,126.9585998,37.32637343
39,2022-08-01 18:07,사고 ,제2경인고속도로 광명터널 일직JC서측 1차로 0km(일직JC방향) 주의운전 교통사고 -,126.8877572,37.42501419
40,2022-08-01 18:31,공사 ,경부고속도로 원평1교남측 신평육교북측 4차로 174km(구미IC방향) 4차로 차단공사중 도로공사 -,128.3496814,36.1251834
41,2022-08-01 18:39,사고 ,서해안고속도로 서평택JC 서평택ic 1차로 291.60km(방향) 주의운전 교통사고 -,126.8885349,37.0542428
42,2022-08-01 19:35,사고 ,중부내륙고속도로 김천분기점 선산ic 진행방향 전체차로 주의운전 고장차량 -,128.260981,36.207242
43,2022-08-01 19:35,사고 ,중부내륙고속도로 김천분기점 선산방면 2차로 119km(방향) 타이어 파스로 갓길 이동조치 고장차량 -,128.3613381,36.1132594
44,2022-08-01 21:04,사고 ,중앙고속도로 남원주ic 신림ic 1차로 319km(남원주IC방향) 소통원활 교통사고 -,128.0479953,37.25657126
45,2022-08-01 21:31,사고 ,경부고속도로 김천IC남측 교동2교서측 1차로 199.9km(방향) 주의운전 고장차량 -,128.0960325,36.1320959
46,2022-08-02 7:34,사고 ,서울외곽순환고속도로 자유로JC 대장천교 진입로 1차로 승용관련 사고 주의운전 교통사고 -,126.8011398,37.61842957
47,2022-08-02 7:40,사고 ,경부고속도로 서울 부산 진행방향 전체차로 주의운전 고장차량 -,127.1149649,37.1083292
48,2022-08-02 7:48,사고 ,호남고속도로 행정교 주암육교 천안 19km 1차로 승용단독사고 주의운전 교통사고 -,127.2922148,35.04095043
