startpoint,Latitude,Longitude,endpoint,Latitude,Longitude
가락IC,35.165139,128.896716,가락JC,35.1683133,128.8940987
기계JC,36.0863,129.176,기계JC,36.0863,129.176
가락2JC,35.1621,128.8888,가락2IC,35.1621,128.8888
가락JC,35.1683133,128.8940987,서부산IC,35.1558884,128.9519315
가산IC,36.0965744,128.5333614,가락2JC,35.1621,128.8888
가산JC,36.097527,128.535221,장유IC,35.1979085,128.8071939
가조IC,35.7014455,128.0209208,가산JC,36.097527,128.535221
감곡IC,37.1244345,127.6701927,다부IC,36.0475799,128.5169477
강릉IC,37.7498528,128.8387279,가산IC,36.0965744,128.5333614
강릉JC,37.7498528,128.8387279,군위IC,36.1622,128.5485
강진무위사IC,34.7388087,126.6867287,군위입구JC,36.1622,128.5485
강촌IC,37.7341372,127.6240684,거창IC,35.6867229,127.9095155
거창IC,35.6867229,127.9095155,해인사IC,35.7148355,128.1708508
건천IC,35.843278,129.087849,여주JC,37.2328366,127.5902528
경기광주IC,37.4475268,127.2711666,충주JC,37.040326,127.740369
경기광주JC,37.4171413,127.2561413,강릉JC,37.7498528,128.8387279
경산IC,35.877022,128.787177,남강릉IC,37.694305,128.890919
경주IC,35.8079821,129.184336,강릉IC,37.7498528,128.8387279
계룡IC,36.25179,127.281775,대관령IC,37.6840536,128.7541269
고덕IC,36.7578784,126.7013798,북강릉IC,37.8350642,128.8145053
고령IC,35.7015052,128.2499548,서영암IC,34.7370902,126.5710531
고령JC,35.757723,128.3725805,장흥IC,34.6816856,126.9069278
고서JC,35.2245672,126.9600059,남춘천IC,37.7516924,127.7239192
고성IC,35.0079227,128.3492141,설악IC,37.6692816,127.4954439
고창IC,35.4406198,126.664112,가조IC,35.7014455,128.0209208
고창JC,35.4164281,126.6540302,함양JC,35.5346554,127.7698657
고흥IC,34.8243,127.344,경주IC,35.8079821,129.184336
곡성IC,35.2267381,127.2220644,북안JC,35.9273,129.0108
곤양IC,35.0566879,127.9664153,경기광주JC,37.4171413,127.2561413
곤지암IC,37.3521227,127.3210533,산곡JC,37.4822998,127.2418073
곤지암JC,37.3487202,127.3440759,경기광주IC,37.4475268,127.2711666
공주IC,36.4914458,127.1215409,곤지암IC,37.3521227,127.3210533
공주2JC,36.4838,127.0904,초월IC,37.373394,127.30001
공주3JC,36.4849,127.0923,동대구JC,35.887474,128.694347
공주JC,36.4856127,127.0918494,영천IC,35.92238,128.95146
광양IC,34.972997,127.6037571,건천IC,35.843278,129.087849
광재IC,35.3052,128.8963,활천IC,35.712424,129.19018
광주TG,35.2518,126.8085,서대전JC,36.2940842,127.3160831
광천IC,36.4982135,126.5852035,양촌IC,36.158575,127.218341
괴산IC,36.8678036,127.9215091,면천IC,36.8234251,126.6476055
구례화엄사IC,35.2501831,127.4182397,예산수덕사IC,36.6767785,126.775347
구미IC,36.1090141,128.3608497,동고령IC,35.7534455,128.3591652
구병산IC,36.4694895,127.8616372,남성주IC,35.8430175,128.3242216
군북IC,35.2815843,128.3246813,옥포JC,35.792776,128.4635432
군산IC,36.0093872,126.799279,현풍JC,35.6749,128.4347
군위IC,36.1622,128.5485,담양JC,35.2518975,126.9697821
군위입구JC,36.1622,128.5485,동광주IC,35.184877,126.9278989
군위출구JC,36.1622,128.5485,창평IC,35.2328725,127.0021684
군자IC,37.3577,126.7804,동고성IC,35.0079227,128.3492141
군포IC,37.3258965,126.9220928,연화산IC,35.0826,128.1914
근덕IC,37.3920557,129.2045262,고창JC,35.4164281,126.6540302
